NumberOfPartitions NoPartitioning Radix32 Radix64 Radix128 Radix256 Radix512 Radix1024 Radix2048 Radix4096 Radix8192
Partition 0 666 814 761 729 710 733 820 1064 1442
Build 308 120 56 44 29 42 34 17 9 10
Probe 1112 572 581 469 456 435 396 359 442 356
